date,open,high,low,close,adj_close,volume
2023-10-02,426.6200,428.6000,424.4600,427.3100,413.1219,83798600
2023-10-03,425.0600,427.3700,420.1800,421.5900,407.5919,103760600
2023-10-04,422.0700,425.4300,420.5600,424.6600,410.5599,87453000
2023-10-05,424.3600,425.3700,421.1700,424.5000,410.4052,70142700
2023-10-06,421.9700,431.1300,420.6000,429.5400,415.2780,113273300
2023-10-09,427.5800,432.8800,427.0100,432.2900,417.9366,80374400
2023-10-10,432.9400,437.2200,432.5300,434.5400,420.1119,78607300
2023-10-11,435.6400,436.5800,433.1800,436.3200,421.8328,62451700
2023-10-12,436.9500,437.3400,431.2300,433.6600,419.2611,81154200
2023-10-13,435.2100,436.4500,429.8800,431.5000,417.1729,95143100
2023-10-16,433.8200,437.1400,433.5700,436.0400,421.5621,75433200
2023-10-17,432.8100,438.1400,432.4500,436.0200,421.5427,75324700
2023-10-18,434.1900,435.1800,429.0900,430.2100,415.9257,93559800
2023-10-19,430.9500,432.8200,425.7300,426.4300,412.2711,121323000
2023-10-20,425.9800,426.5400,421.0800,421.1900,407.2052,123919900
2023-10-23,419.6100,424.4500,417.8000,420.4600,406.4994,92035100
2023-10-24,422.6500,424.8200,420.7400,423.6300,409.5641,78564200
2023-10-25,421.8900,421.9200,417.0200,417.5500,403.6860,94223200
2023-10-26,416.4500,417.3300,411.6000,412.5500,398.8521,115156800
2023-10-27,414.1900,414.6000,409.2100,410.6800,397.0441,107367700
2023-10-30,413.5600,416.6800,412.2200,415.5900,401.7911,86562700
2023-10-31,416.1800,418.5300,414.2100,418.2000,404.3145,79665200
2023-11-01,419.2000,423.5000,418.6500,422.6600,408.6264,98068100
2023-11-02,426.5800,430.9200,426.5600,430.7600,416.4574,94938900
2023-11-03,433.1400,436.2900,433.0100,434.6900,420.2570,100167800
2023-11-06,435.4700,436.1500,433.6800,435.6900,421.2237,67831700
2023-11-07,435.6900,437.5900,434.5100,436.9300,422.4225,64256100
2023-11-08,437.5500,438.0900,434.8700,437.2500,422.7319,61746000
2023-11-09,438.4300,438.4700,433.4000,433.8400,419.4352,83174400
2023-11-10,435.9800,440.9300,433.8300,440.6100,425.9803,89462200
2023-11-13,439.2300,441.3300,438.4200,440.1900,425.5743,52236100
2023-11-14,446.3200,450.0600,446.0900,448.7300,433.8307,97176900
2023-11-15,450.1100,451.3800,448.8000,449.6800,434.7492,77327600
2023-11-16,449.2200,450.5600,448.1200,450.2300,435.2809,66665800
2023-11-17,450.2400,451.4200,449.2900,450.7900,435.8223,83133200
2023-11-20,450.5300,455.1300,450.5200,454.2600,439.1772,69936200
2023-11-21,453.1800,454.1300,451.9600,453.2700,438.2200,49244600
2023-11-22,454.9800,456.3800,453.8900,455.0200,439.9119,59394900
2023-11-24,455.0700,455.5000,454.7300,455.3000,440.1826,29737400
2023-11-27,454.6500,455.4900,454.0800,454.4800,439.3898,50506000
2023-11-28,454.0800,456.2700,453.5000,454.9300,439.8249,62115000
2023-11-29,457.1500,458.3200,454.2000,454.6100,439.5155,63146000
2023-11-30,455.4800,456.7600,453.3400,456.4000,441.2461,79752700
2023-12-01,455.7700,459.6500,455.1600,459.1000,443.8564,89183400
2023-12-04,455.6000,459.1200,454.3400,456.6900,441.5264,72430900
2023-12-05,455.2600,457.5900,454.8700,456.6000,441.4395,69793500
2023-12-06,458.8100,458.8400,454.3100,454.7600,439.6605,69124700
2023-12-07,456.9100,458.9000,456.2900,458.2300,443.0153,66995400
2023-12-08,457.4600,460.7500,457.2100,460.2000,444.9200,83194400
2023-12-11,459.6900,462.1700,459.4700,461.9900,446.6505,65002200
2023-12-12,461.6300,464.2000,460.6000,464.1000,448.6904,68327600
2023-12-13,464.4900,470.7600,464.1200,470.5000,454.8780,93278000
2023-12-14,472.5000,473.7300,469.2500,472.0100,456.3378,119026000
2023-12-15,469.4900,470.7000,467.4300,469.3300,455.5865,141553700
2023-12-18,470.9800,472.9800,469.8900,471.9700,458.1491,70375300
2023-12-19,472.5300,474.9200,472.4500,474.8400,460.9351,55761800
2023-12-20,473.9600,475.9000,467.8200,468.2600,454.5478,102921000
2023-12-21,471.3300,472.9800,468.8400,472.7000,458.8578,86667500
2023-12-22,473.8600,475.3800,471.7000,473.6500,459.7799,67160400
2023-12-26,474.0700,476.5800,473.9900,475.6500,461.7213,55387000
2023-12-27,475.4400,476.6600,474.8900,476.5100,462.5562,68000300
2023-12-28,476.8800,477.5500,476.2600,476.6900,462.7309,77158100
2023-12-29,476.4900,477.0300,473.3000,475.3100,461.3913,122283100
2024-01-02,472.1600,473.6700,470.4900,472.6500,458.8092,123623700
2024-01-03,470.4300,471.1900,468.1700,468.7900,455.0623,103585900
2024-01-04,468.3000,470.9600,467.0500,467.2800,453.5964,84232200
2024-01-05,467.4900,470.4400,466.4300,467.9200,454.2177,86118900
2024-01-08,468.4300,474.7500,468.3000,474.6000,460.7021,74879100
2024-01-09,471.8700,474.9300,471.3500,473.8800,460.0032,65931400
2024-01-10,474.1600,477.4500,473.8700,476.5600,462.6047,67310600
2024-01-11,477.5900,478.1200,472.2600,476.3500,462.4008,77940700
2024-01-12,477.8400,478.6000,475.2300,476.6800,462.7212,58026400
2024-01-16,475.2600,476.6100,473.0600,474.9300,461.0224,85014900
2024-01-17,471.8200,472.7900,469.8700,472.2900,458.4598,68843900
2024-01-18,474.0100,477.0600,472.4200,476.4900,462.5367,91856200
2024-01-19,477.6500,482.7200,476.5400,482.4300,468.3029,110834500
2024-01-22,484.0100,485.2200,482.7800,483.4500,469.2930,75844900
2024-01-23,484.0100,485.1100,482.8900,484.8600,470.6617,49945300
2024-01-24,487.8100,488.7700,484.8800,485.3900,471.1762,81765000
2024-01-25,487.5800,488.3100,485.3900,488.0300,473.7389,72525000
2024-01-26,487.5900,489.1200,486.5400,487.4100,473.1370,76641600
2024-01-29,487.7300,491.4200,487.1700,491.2700,476.8839,61322800
2024-01-30,490.5600,491.6200,490.1100,490.8900,476.5151,58618400
2024-01-31,488.6200,489.0800,482.8600,482.8800,468.7396,126011100
2024-02-01,484.6300,489.2300,483.8000,489.2000,474.8746,91891600
2024-02-02,489.6500,496.0500,489.3000,494.3500,479.8738,99228200
2024-02-05,493.7000,494.3800,490.2300,492.5500,478.1265,75757100
2024-02-06,493.5200,494.3200,492.0500,493.9800,479.5146,55918600
2024-02-07,496.2900,498.5300,495.3600,498.1000,483.5140,70556500
2024-02-08,498.1000,498.7100,497.2600,498.3200,483.7275,52343600
2024-02-09,498.8400,501.6500,498.4900,501.2000,486.5232,63979400
2024-02-12,501.1700,503.5000,500.2400,500.9800,486.3096,56502300
2024-02-13,494.5300,497.0900,490.7200,494.0800,479.6116,113099200
2024-02-14,496.7900,499.0700,494.4000,498.5700,483.9702,68387800
2024-02-15,499.2900,502.2000,498.8000,502.0100,487.3094,61683000
2024-02-16,501.7000,502.8700,498.7500,499.5100,484.8827,75532900
2024-02-20,497.7200,498.4100,494.4500,496.7600,482.2132,71736700
